target_index,M0_seed2026,M0_seed7,M0_seed13,M0T_seed2026,M0T_seed7,M0T_seed13,M1D_seed2026,M1D_seed7,M1D_seed13,M1R_seed2026,M1R_seed7,M1R_seed13,M1_seed2026,M1_seed7,M1_seed13,M2_seed2026,M2_seed7,M2_seed13
45,0.9224952169308818,0.9160316090045795,0.9449694283468594,0.8887742030654846,0.8928841335227891,0.9042579949105278,0.9236650426129738,0.9506484089289056,0.9574779028559365,0.9515115913079987,0.9427219693542429,0.9387238425412151,0.959689488993922,0.9637960396519349,0.9533467608221392,0.9613176946951726,0.9660271236061496,0.9505435500398518
46,0.15362804282401357,0.11851099387423304,0.1361361874223959,0.2833870883870681,0.2850392213840021,0.26045297075037244,0.07012279340504021,0.14637344947180916,0.09878772791196817,0.10320598124403534,0.11083666503393398,0.1131162707500576,0.14737243997015875,0.17114213141857024,0.17423039909970944,0.1670015335101432,0.15735384783163436,0.2094008945410263
47,0.12695813925154117,0.13222880371481865,0.12813854438960837,0.16679882227166862,0.1898038117702497,0.1893962914618768,0.06491319105896938,0.09810768732982048,0.09250672784770345,0.08064649019022292,0.07984945368523975,0.12750528528644228,0.16211902554010388,0.19888732582999863,0.18951964747707944,0.1480842057425977,0.2252189418582694,0.2571750012151181
48,0.26142039123837285,0.283893016732138,0.2488665346548569,0.45584021435487787,0.48240549162369084,0.44769284223375305,0.26809673679608587,0.24156342306986764,0.23974128540765943,0.24815850209080956,0.21165140505542754,0.23537230722808983,0.25242318464111824,0.28350058385092414,0.2611032701401346,0.3235500054369192,0.28494309343152213,0.27879059685684315
49,0.8206424995390109,0.839943279925082,0.8483469678068793,0.890584804848829,0.9009374311256281,0.8971393836240928,0.8569955796887634,0.8845951861509733,0.8402703583392989,0.8743321962567542,0.881155166944278,0.8569914833666934,0.871216782635937,0.8724232683191714,0.8687890791438582,0.8631394033121688,0.8826228755028573,0.8238760167295458
50,0.19856981357316322,0.20629591218240115,0.21325625304731602,0.3503876841593752,0.35931789319962015,0.3296411408889557,0.18305680713970654,0.22008354601492397,0.21618822632637688,0.27221767066896596,0.26142021382868613,0.29587399081627447,0.3390998933755902,0.2799070494407214,0.2819022415635684,0.27923989920456643,0.2532018356941793,0.28446068999634017
51,0.3892509408556638,0.38582394410084214,0.40544366298999446,0.5737258814607196,0.5797835650313172,0.571095500198484,0.3429582863053372,0.30137064707099126,0.326223891513603,0.35493793759608533,0.20511912792698767,0.3072664534146937,0.2712996972093895,0.30242182080524466,0.2883760162972812,0.2649878004199347,0.29660178832726114,0.31443692417254293
52,0.4277340314284773,0.44526926328675753,0.3957683473222389,0.6136225480428636,0.6254346190582252,0.6362817649324748,0.3860349436301858,0.4189520973624059,0.4153131083811493,0.43112652437965715,0.3766840352508321,0.41840441837548686,0.4068301019927986,0.40924558242535525,0.34803117590163724,0.4034684628196237,0.4331183091789975,0.45098462552720403
53,0.10249895346356863,0.1031683646714951,0.09808909268747869,0.1427337254376089,0.15920712249085747,0.1664711240021938,0.09031263038559208,0.09303561757136286,0.08182155198700666,0.11390269877440283,0.0840712627753501,0.087516449306827,0.11550848982563859,0.10108060242939644,0.12067295024263609,0.10442901587635796,0.10918348940075127,0.10973001596247271
55,0.9681698017688698,0.977423352273094,0.9733776333032185,0.9650900897759961,0.9744466182860975,0.9722272339784295,0.9823631328863115,0.9868185688238608,0.9815550302579649,0.9892225709623855,0.9869510202253944,0.9863013006805744,0.9844945165705288,0.9871556158553745,0.9860422000330048,0.9908710585011697,0.9836742513922166,0.9697397966200362
56,0.06283524957291242,0.05303130089310682,0.06289357118346829,0.15033269849080466,0.14204602178450035,0.1233200096665047,0.1343724111139807,0.1649600846066193,0.12861012067976343,0.11830711984557513,0.13122943435953532,0.10358822707197375,0.09001291556032825,0.11537939670650416,0.13607673416434599,0.1271074024856449,0.13672279247133845,0.13833502880417933
57,0.773943911945063,0.7584211994928337,0.7599738594862796,0.8039421149410518,0.8080850388612131,0.807760950003119,0.680992989988326,0.6928928820033641,0.6796605155473608,0.6861528623474967,0.6857020066974822,0.7305113956104182,0.6024164061452212,0.6567197628096854,0.6275921565422262,0.5511167409302462,0.7358191568415705,0.48508448968931955
58,0.0879753703715808,0.08159382721369643,0.08783158310785238,0.1628604549354348,0.16303429815884815,0.17139145101306644,0.060981925781390146,0.05434878157431749,0.06643682386020221,0.06013981253362272,0.06383710113130822,0.06386619770132643,0.05712379034722221,0.08680080063736685,0.08158057606846364,0.06860022829533646,0.07235483586991809,0.062819260835924
59,0.8027315989028255,0.7652254290580002,0.8137914949010271,0.8341141315774497,0.8397206888920552,0.8440887557502164,0.7641432777572038,0.7213680126635226,0.7278289100970946,0.7365634257806838,0.6808806136601598,0.6474759593270684,0.6420848524460118,0.6458224802192636,0.6393334726878919,0.6977119444137937,0.6608075334668895,0.684015611331038
60,0.8087698794047189,0.800086828809026,0.8147052130855631,0.8687299795829506,0.8746342618266495,0.8815253543582785,0.79243863347792,0.8141789443206243,0.80071660320602,0.8362234139002936,0.8157395840105126,0.8194713842370029,0.8237564573199707,0.7912816699013926,0.8427293568076877,0.8315801248544125,0.8223823130129948,0.8193711378603763
61,0.07363453688916498,0.07610994287903461,0.07621983375415162,0.31838756998832535,0.3421696119751001,0.30376744301976577,0.10330417042104952,0.10213766820387972,0.1059549981249271,0.14261196114469346,0.09922009245347357,0.20176792337714644,0.1424100715571762,0.12060925000443369,0.18659091616600207,0.13977744375367726,0.12486747044750328,0.1573654474813701
